RIGHT; 6; 2 0 0 16 2 16|8 16 2 0 4 0|4 0 2 0 0 0|0 0 0 0 0 0|0 2 4 2 0 0|0 2 0 0 2 0
UP; 9; 0 16 0 2 0 4 2 0 8|8 2 2 0 4 2 2 0 0|16 8 2 32 16 2 0 0 0|2 4 2 2 0 2 0 2 16|2 0 2 2 4 8 2 2 2|4 2 2 2 2 0 256 0 8|0 32 2 2 2 0 0 2 32|0 2 4 0 0 8 2 0 0|0 0 0 0 4 2 0 0 0
UP; 4; 2 2 2 2|2 2 4 0|0 2 2 2|4 2 0 4
LEFT; 9; 0 0 0 2 0 2 0 0 0|2 0 8 4 2 0 2 0 16|0 4 0 0 4 0 2 4 0|2 0 2 0 2 8 0 8 2|0 4 0 0 16 2 4 2 0|4 4 16 8 0 8 2 2 32|2 2 8 2 0 2 0 0 0|0 0 2 8 1024 4 4 2 4|0 16 4 2 4 2 4 4 2
LEFT; 7; 2 2 0 2 256 2 0|0 0 2 2 8 0 2|16 2 0 2 0 8 8|4 0 0 0 0 8 0|0 2 2 2 0 0 0|4 2 32 4 2 0 0|0 0 0 0 0 2 4
LEFT; 10; 4 2 2 0 0 0 2 0 0 0|0 2 2 4 2 2 0 2 16 0|4 128 2 0 0 2 2 16 4 32|0 32 2 2 0 2 0 4 2 0|2 2 2 32 4 2 2 0 2 2|2 4 2 0 0 0 2 0 4 0|0 4 2 4 2 4 0 2 0 2|2 2 2 8 0 0 0 0 4 0|8 0 2 2 2 0 0 2 2 0|0 0 0 4 2 2 2 16 0 2
DOWN; 8; 8 0 4 0 0 0 2 0|2 2 0 2 0 2 2 16|4 2 0 0 8 4 0 4|2 0 0 0 2 0 4 0|0 8 2 0 8 0 8 0|2 2 2 0 2 4 2 8|2 0 4 2 2 2 0 8|0 4 2 0 0 0 2 4
RIGHT; 8; 0 0 4 0 4 4 2 2|0 0 0 0 16 8 0 0|4 8 4 0 8 4 8 2|2 4 2 2 0 4 4 0|4 2 4 8 4 32 0 16|0 0 0 0 0 2 0 4|0 0 0 2 2 0 4 0|0 8 0 0 0 0 2 0
UP; 5; 2 0 16 0 2|0 2 256 8 0|4 0 2 0 2|2 0 2 0 0|2 8 0 0 2
DOWN; 5; 8 0 2 0 0|2 0 2 0 0|2 0 2 0 0|4 2 0 8 16|2 4 2 0 4
DOWN; 7; 2 4 8 2 2 4 0|0 16 4 4 0 0 0|0 4 2 4 4 0 2|0 2 0 2 0 0 0|0 8 0 4 4 0 0|8 4 2 8 0 2 2|2 0 0 4 8 2 2
LEFT; 5; 0 0 4 0 0|0 2 8 16 0|2 2 8 2 2|0 0 0 0 32|0 0 2 0 2
RIGHT; 6; 0 4 2 0 2 2|8 2 8 8 2 0|0 4 4 8 0 0|2 0 8 16 0 0|0 0 0 2 0 2|0 0 0 0 0 16
RIGHT; 8; 0 32 0 2 4 4 0 0|2 0 0 2 16 2 0 0|4 2 2 0 0 0 0 2|8 2 4 2 4 4 0 2|8 2 0 2 2 0 2 4|0 0 4 8 0 0 2 4|2 0 2 8 0 0 0 2|2 0 0 0 2 2 8 2
UP; 6; 4 2 2 4 0 0|16 0 2 0 4 2|2 8 0 8 0 0|2 4 4 2 8 4|0 2 0 8 4 2|0 2 4 2 0 0
DOWN; 6; 2 2 4 0 2 0|2 2 32 2 16 4|0 64 0 0 0 0|0 0 8 0 0 2|2 4 2 8 4 4|8 4 4 4 0 0
LEFT; 8; 16 2 0 0 0 2 2 4|2 0 0 0 0 4 8 2|0 2 16 2 0 2 4 4|0 0 2 8 0 2 0 2|0 2 2 32 0 2 4 0|0 4 4 0 0 0 0 0|0 0 32 0 0 4 4 0|32 8 2 2 16 8 4 4
UP; 7; 0 0 2 4 16 2 4|32 2 2 8 0 0 2|0 4 2 2 2 0 0|2 8 2 0 64 0 0|0 4 0 0 0 0 0|64 0 2 2 4 0 0|0 0 0 0 2 0 8
DOWN; 5; 0 2 2 4 2|2 0 2 2 2|4 2 2 0 2|2 0 0 0 4|0 0 2 0 0
UP; 10; 256 2 0 0 0 0 8 4 0 2|2 2 8 8 2 0 2 8 2 0|2 2 0 8 8 0 0 0 0 0|0 2 0 0 0 0 0 2 4 0|0 32 8 0 2 16 0 8 4 32|2 0 0 64 2 0 0 16 0 0|0 0 8 2 0 0 0 2 4 0|0 0 2 4 4 4 32 0 2 0|4 2 4 2 4 0 2 2 0 2|0 2 4 2 0 2 0 8 2 0
RIGHT; 9; 0 2 4 0 0 0 0 4 0|0 2 0 2 16 2 0 0 2|0 0 4 2 0 2 4 0 4|0 2 0 0 0 0 2 2 4|4 16 0 2 8 4 0 0 0|0 2 2 2 8 2 4 2 0|0 0 0 2 8 2 0 2 16|2 4 0 2 4 8 2 2 2|4 0 2 4 0 4 0 0 2
UP; 8; 4 2 0 0 0 0 0 2|8 8 2 2 2 16 0 2|8 2 4 2 8 8 2 8|0 8 0 4 0 8 2 0|2 0 0 0 0 2 0 0|4 32 4 4 2 2 0 4|2 0 64 4 0 2 4 8|4 0 2 4 2 0 2 2
LEFT; 10; 8 2 8 2 4 0 8 0 2 0|2 4 0 4 0 4 8 2 0 2|0 4 0 2 0 0 4 2 4 8|0 128 2 0 0 2 64 4 8 2|0 0 64 64 2 2 2 8 4 0|0 32 0 2 2 0 2 0 0 64|2 2 8 0 4 8 0 2 2 4|16 2 0 2 0 2 0 0 2 2|4 0 0 0 4 0 0 8 16 2|4 2 0 0 0 4 256 4 8 0
UP; 6; 0 2 8 32 16 0|2 2 4 2 2 4|2 0 8 8 0 0|0 0 8 2 2 2|2 2 0 2 2 4|0 8 2 0 4 0
RIGHT; 4; 4 2 2 2|4 0 2 64|4 4 8 2|32 0 2 0
